SongNumber,SongID,TrackID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,Rock,Pop,Electronic,Jazz,Metal,RAndB,Folk,HipHop
2,SOOKYPR12AB018AD0C,TRBGVWB12903CE31A6,818242,Endzeit Bunkertracks - Act IV: The Alfa Matrix Selection,ARY02GH1187B99B223,53.55014,Edmonton Alberta Canada,-113.46871,Zombie Girl,0.0,256.73098,11,0.207,120.103,4,1.0,The Darkness (Komor Kommando Mix),2009,0,0,0,0,0,0,0,0
4,SOZFZDT12A6D4F7646,TRBGVSE128EF3686B6,86066,Fromohio,AR9A5TK1187B9AD07F,,,,fIREHOSE,0.0,61.83138,5,0.065,76.354,4,0.0,Let The Drummer Have Some,1989,0,0,0,0,0,0,0,0
5,SOFSSHW12AAF3B3866,TRBGHBW12903CDCF83,771318,From Isolation,AR01IP11187B9AF5D2,28.33268,Rockledge Florida,-80.73486,Call To Preserve,0.0,44.30322,5,0.368,208.167,4,0.0,Hindsight,2008,0,0,0,0,0,0,0,0
6,SOSKWGF12A8C141C39,TRBGHRA128F42B90E6,311363,I Need Some Fine Wine And You_ You Need To Be Nicer,AREHK7O1187B9ADDD7,57.782778,Jönköping Sweden,14.160556,The Cardigans,0.0,274.05016,5,0.363,124.013,4,1.0,Explode,1998,1,1,0,0,0,0,0,0
9,SOZEHVM12AB018051E,TRBGHZA128F9340CE7,641041,Little Bit O' Soul - The Best Of,ARUQSEE1187B9983F8,40.75851,Mansfield OH,-82.5148,Music Explosion,0.0,155.11465,1,0.577,124.595,4,0.509,I See The Light (2002 Digital Remaster),0,0,0,0,0,0,0,0,0
12,SOJKWAA12A6D4F8CAF,TRBGHVM128F146B47A,29458,Rock And Roll Yo,AR7NNKG1187FB4AA1C,,,,Charly Garcia,0.0,162.71628,7,0.018,126.948,4,0.631,Tango,2003,0,0,0,0,0,0,0,0
13,SOCIYKT12A6D4F8085,TRBGHFZ128F146984C,28848,The Best of Ziggy Marley And The Melody Makers (1988 - 1993),ARLUAK21187B9B785A,,,,Ziggy Marley And The Melody Makers,0.0,261.27628,1,0.0,129.393,4,0.0,New Love,0,0,0,0,0,0,0,0,0
14,SORRGXW12A8C139847,TRBGHJG128F428ADB4,295538,A Place In The Sun,ARF1Q9B1187B9ADCC7,33.6671,Orange County CA,-117.76505,Lit,0.0,246.80444,10,0.573,135.021,4,0.365,Lovely Day,1999,1,1,0,0,0,0,0,0
15,SOMYXTW12A8C130319,TRBGHKQ128F4264A88,282973,Master Sessions Vol. II,ARS8HNI1187B9B0785,23.1168,Havana Cuba,-82.38859,Cachao,0.0,84.94975,7,0.423,81.24,4,0.0,Los Tres Glopes  The Three Beats (danza),0,0,0,0,0,0,0,0,0
16,SOBMGLG12A6D4F84D7,TRBGHND128E079438C,16141,Gold (1974-1982),ARMI8BW1187FB57B2E,40.71427,New York NY,-74.00597,Kiss,0.0,154.40934,10,0.788,139.706,4,0.415,Anything For My Baby,0,1,0,0,0,0,0,0,0
18,SOXEKMY12AC468ACF1,TRBGBDH12903CE9EA8,598659,Frequencies Fall,ARPVRUC1187FB4F1DE,37.80437,Oakland CA,-122.2708,Pitch Black,0.0,283.32363,2,0.055,118.926,4,0.671,Big Trouble Upstairs,0,0,0,1,0,0,0,0,0
19,SOQXAGF12A58A7BB46,TRBGBIK128F4294A67,109905,Verdammtnochma!,ARB0WNP1187B9AC4AB,,,,Samy Deluxe,0.0,237.19138,1,0.658,164.041,4,0.919,Denk,2004,0,0,0,0,0,0,0,1
21,SOYPMHZ12AF72A31BD,TRBGBGO128F4264203,282908,Hold Your Fire,ARMH10M1187FB4184F,44.50024,Wisconsin,-90.00041,Firehouse,0.0,278.12526,1,0.633,119.423,4,1.0,Talk Of The Town,1992,1,0,0,0,0,0,0,0
25,SOBXTMM12AB018E916,TRBGBQC12903CD7B4F,813767,The Late Great Daniel Johnston: Discovered Covered,AR6CLFP1187B9ACB94,38.58157,Sacramento CA,-121.4944,Daniel Johnston,0.0,296.54159,0,0.718,106.927,4,0.395,The Story Of An Artist,1982,0,0,0,0,0,0,0,0
26,SOJMXIM12A6D4FB4FC,TRBGBGH128F14A23E5,59548,Off The Wall - Ten Years of Wall of Sound,AR3NPVS1187FB5108F,48.85692,Paris France,2.34121,Les Rythmes Digitales feat. Nik Kershaw,0.0,297.45587,2,0.011,123.829,4,0.395,Sometimes,1999,0,1,1,0,0,1,0,0
